artist_name, album_name, track_name
"Jennifer Lopez","Brave","Do It Well (Featuring Ludacris)"
"Stacie Orrico","Premiere Performance Plus: (There's Gotta Be) More To Life","(There's Gotta Be) More To Life - Performance Track In Key Of B-C"
"Rihanna","Talk That Talk (Deluxe Explicit Edition)","Cockiness (Love It)"
"Natalia Kills","Trouble (Cherry Cherry Boom Boom Remix)","Trouble - Cherry Cherry Boom Boom Remix"
"Jordin Sparks","Jordin Sparks","Now You Tell Me"
"P!nk","I'm Not Dead","Conversations With My 13 Year Old Self"
"The Saturdays","Living For The Weekend","Not Giving Up - JRMX WeLovePop Radio Edit"
"Nicole Scherzinger","Your Love","Your Love"
"Britney Spears","B in the Mix, The Remixes [Deluxe Version]","Everytime - Valentin Remix"
"Miley Cyrus","Can't Be Tamed","Permanent December"
"Jennifer Lopez","Rebirth","(Can't Believe) This Is Me"
"Coldplay","Ghost Stories Live 2014","A Sky Full Of Stars - Live At The Royal Albert Hall, London"
"Kelis","Food","Dreamer"
"Lindsay Lohan","Over","To Know Your Name"
"Alicia Keys","As I Am - The Super Edition","Like You'll Never See Me Again - Main"
"Rihanna","Talk That Talk (Deluxe Explicit Edition)","Fool In Love"
"Britney Spears","Circus (Deluxe Version)","Phonography"
"The Black Eyed Peas","The Time (Dirty Bit)","The Time (Dirty Bit) - Zedd Remix"
"The Veronicas","Hook Me Up","Change The World"
"Britney Spears","Circus","Shattered Glass"
"Luciano Pavarotti","Pavarotti & Friends For The Children Of Liberia","Viva Forever (Io ci saro)"
"Rihanna","Loud","Raining Men"
"Britney Spears","Blackout","Ooh Ooh Baby"
"Beyoncé","4","End Of Time"
"Will Young","The Essential Will Young","You and I"
"Various Artists","Girls, Girls, Girls","Carnival Girl"
"Stacie Orrico","Stuck","Stuck"
"The Pussycat Dolls","Doll Domination","Halo"
"Nicole Scherzinger","Right There","Right There - Instrumental Version"
"Fergie","L.A.LOVE (la la)","L.A.LOVE (la la)"
